Var1,Var2,dist,fst
1,10,708.9544228,0.016408197
1,11,835.9612252,0.021638594
1,14,1011.483419,0.036923901
1,2,2.61882379,0.003507323
1,4,310.8275723,0.004057848
1,5,155.6783946,0.017236141
1,8,732.1654068,0.02405295
1,9,699.8918627,0.021878282
10,1,708.9544228,0.016408197
10,11,246.4357056,0.010792191
10,15,317.250379,0.010001322
10,7,598.1688518,0.001580539
10,8,298.4744685,0.096578011
10,9,41.07821085,0.023574929
11,1,835.9612252,0.021638594
11,10,246.4357056,0.010792191
11,13,151.8774003,0.003402233
11,14,187.2558883,0.009358553
11,15,249.5160951,0.007840149
11,16,261.5315023,0.009757812
11,2,834.6298613,0.016167987
11,3,671.7454387,0.002817968
11,5,704.7583875,0.012490047
11,7,651.2677806,0.029632159
11,8,151.2145355,0.114047229
11,9,215.1605005,0.014564094
12,14,226.7922111,0.000547126
12,8,331.9568799,0.00371425
12,9,159.2048637,0.013012691
13,11,151.8774003,0.003402233
13,9,294.2079441,0.022203628
14,1,1011.483419,0.036923901
14,11,187.2558883,0.009358553
14,12,226.7922111,0.000547126
14,15,116.9746006,0.020069428
14,2,1009.994354,0.005728405
14,6,872.6818408,0.003096855
14,7,837.3590656,0.024873746
14,8,333.2478818,0.113895942
14,9,335.2657915,0.025617385
15,10,317.250379,0.010001322
15,11,249.5160951,0.007840149
15,14,116.9746006,0.020069428
15,2,1015.423999,0.009512674
15,5,871.2873926,0.014969491
15,9,318.3930615,0.029960454
16,11,261.5315023,0.009757812
16,9,335.4296815,0.027063416
2,1,2.61882379,0.003507323
2,11,834.6298613,0.016167987
2,14,1009.994354,0.005728405
2,15,1015.423999,0.009512674
2,6,156.1698468,0.003638878
2,7,269.3415413,0.009984925
2,8,731.1649798,0.09110238
2,9,698.1026826,0.023751204
3,11,671.7454387,0.002817968
3,8,534.3545839,0.059670795
3,9,615.3678102,0.018871088
4,1,310.8275723,0.004057848
4,7,58.61494826,0.018867445
4,8,530.7229564,0.092821338
4,9,608.1850474,0.021227837
5,1,155.6783946,0.017236141
5,11,704.7583875,0.012490047
5,15,871.2873926,0.014969491
5,6,4.128071076,0.011106378
5,7,258.2264262,0.004359738
5,8,616.2836074,0.100013575
5,9,552.9306753,0.010722853
6,14,872.6818408,0.003096855
6,2,156.1698468,0.003638878
6,5,4.128071076,0.011106378
6,8,616.6323541,0.013114249
6,9,551.5262884,0.025487356
7,10,598.1688518,0.001580539
7,11,651.2677806,0.029632159
7,14,837.3590656,0.024873746
7,2,269.3415413,0.009984925
7,4,58.61494826,0.018867445
7,5,258.2264262,0.004359738
7,9,574.9283302,0.031467396
8,1,732.1654068,0.02405295
8,10,298.4744685,0.096578011
8,11,151.2145355,0.114047229
8,12,331.9568799,0.00371425
8,14,333.2478818,0.113895942
8,2,731.1649798,0.09110238
8,3,534.3545839,0.059670795
8,4,530.7229564,0.092821338
8,5,616.2836074,0.100013575
8,6,616.6323541,0.013114249
8,9,257.7368258,0.088105258
9,1,699.8918627,0.021878282
9,10,41.07821085,0.023574929
9,11,215.1605005,0.014564094
9,12,159.2048637,0.013012691
9,13,294.2079441,0.022203628
9,14,335.2657915,0.025617385
9,15,318.3930615,0.029960454
9,16,335.4296815,0.027063416
9,2,698.1026826,0.023751204
9,3,615.3678102,0.018871088
9,4,608.1850474,0.021227837
9,5,552.9306753,0.010722853
9,6,551.5262884,0.025487356
9,7,574.9283302,0.031467396
9,8,257.7368258,0.088105258
