Sample,Centroid,Accession number,Region/State/Province,Zone,Woreda/District,Latitude,Longitude,Altitude,ID,bio1_27,bio2_27,bio3_27,bio4_27,bio5_27,bio6_27,bio7_27,bio8_27,bio9_27,bio10_27,bio11_27,bio12_27,bio13_27,bio14_27,bio15_27,bio16_27,bio17_27,bio18_27,bio19_27,tmin1_27,tmin2_27,tmin3_27,tmin4_27,tmin5_27,tmin6_27,tmin7_27,tmin8_27,tmin9_27,tmin10_27,tmin11_27,tmin12_27,tmax1_27,tmax2_27,tmax3_27,tmax4_27,tmax5_27,tmax6_27,tmax7_27,tmax8_27,tmax9_27,tmax10_27,tmax11_27,tmax12_27,layer,layer,layer,layer
A9,15,212931,SNNP,SEMEN OMO,GOFA  ZURIA,6.35,36.98333333,1400,15,235,120,76,1026,321,165,156,231,244,249,223,1146,158,26,45,420,96,152,338,174,179,184,178,173,176,174,172,173,168,185,165,318,321,321,298,286,278,273,271,283,287,301,307,0.255656109,0.312217195,0.514238825,0.472533349
B1,15,212933,SNNP,SEMEN OMO,GOFA ZURIA,6.316666667,36.9,1360,12,220,116,76,1135,306,154,152,215,230,235,206,1349,188,27,45,492,114,185,393,164,168,170,165,159,161,159,158,159,156,175,154,302,306,303,281,268,258,254,253,265,269,285,291,0.354312354,0.397161662,0.446674037,0.250972557
B10,15,212933,SNNP,SEMEN OMO,GOFA ZURIA,6.316666667,36.9,1360,13,220,116,76,1135,306,154,152,215,230,235,206,1349,188,27,45,492,114,185,393,164,168,170,165,159,161,159,158,159,156,175,154,302,306,303,281,268,258,254,253,265,269,285,291,0.354312354,0.397161662,0.446674037,0.250972557
D8,15,212931,SNNP,SEMEN OMO,GOFA  ZURIA,6.35,36.98333333,1400,14,235,120,76,1026,321,165,156,231,244,249,223,1146,158,26,45,420,96,152,338,174,179,184,178,173,176,174,172,173,168,185,165,318,321,321,298,286,278,273,271,283,287,301,307,0.255656109,0.312217195,0.514238825,0.472533349
A2,16,234726,Benishangul & Gumuz,METEKEL,DIBATE,10.68333333,36.38333333,1450,52,207,146,66,1225,319,101,218,196,203,226,196,1746,403,3,101,1067,19,210,1067,113,128,137,145,153,150,147,145,140,131,116,101,295,295,313,319,289,263,245,246,254,267,281,291,0.474153298,0.266008501,0.342413102,0.385684903
E10,16,55154,Oromiya,MIRAB WELLEGA,NEJO,9.5,35.5,2000,40,190,126,73,1403,288,117,171,174,196,210,173,1825,351,5,91,1018,23,114,995,118,131,140,139,135,128,124,125,122,126,123,117,271,283,288,284,257,232,217,221,232,242,251,262,0.321335527,0.232414644,0.253595057,0.258087011
H9,19,225751,SNNP,SEMEN OMO,ARBA MINCH ZURIA,5.75,37.36666667,1100,8,212,115,76,913,296,146,150,217,220,225,200,889,139,22,50,347,84,142,173,152,157,162,159,159,155,153,154,156,157,151,146,291,296,295,274,259,253,247,240,264,265,272,283,0.267722474,0.388180447,0.464473639,0.356406339
A10,20,55132,Oromiya,MISRAK WELLEGA,GUTO WAYU,9.016666667,36.5,2400,34,174,133,81,1092,265,101,164,160,180,188,159,2016,380,12,83,1081,49,181,1038,105,110,114,116,113,108,106,105,102,105,104,101,254,260,265,264,241,218,212,212,221,235,246,253,0.378856438,0.26052379,0.244545283,0.30101663
G10,20,55088,Oromiya,MIRAB SHEWA,AMBO,8.983333333,37.83333333,2235,33,178,148,77,1056,274,82,192,169,173,191,166,1031,223,8,86,593,37,156,571,100,108,114,117,115,110,117,106,100,89,85,82,266,271,274,268,264,241,217,226,234,252,253,257,0.322775264,0.506238859,0.53063297,0.43375644
A1,21,55183,Amara,MIRAB GOJAM,BURE WEMBERMA,10.78333333,37.05,2550,57,153,141,73,885,249,57,192,146,148,166,146,1837,405,22,85,1045,86,271,106,61,73,82,93,98,96,93,95,91,83,73,57,236,238,245,249,235,214,194,197,209,218,224,228,0.284587961,0.215412039,0.3350773,0.215237703
